ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,FacilityName,ActivityType,ManagedBy,Ward,Address,Postcode
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Duncombe St,Playground,Parks and Countryside,City & Hunslet,"Duncombe St, Leeds",LS1
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Earlswood Chase,Playground,Parks and Countryside,Pudsey,"Fartown, Pudsey",LS28 
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,East Ardsley Recreation Ground,Senior,Parks and Countryside,Ardsley & Robin Hood,"Main Street, Wakefield",WF3 2AP
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,East Ardsley Recreation Ground,Senior,Parks and Countryside,Ardsley & Robin Hood,"Main Street, Wakefield",WF3 2AP
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,East Ardsley Recreation Ground,Mini (7v7),Parks and Countryside,Ardsley & Robin Hood,"Main Street, Wakefield",WF3 2AP
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,East Ardsley Recreation Ground,Mini (7v7),Parks and Countryside,Ardsley & Robin Hood,"Main Street, Wakefield",WF3 2AP
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,East Ardsley Recreation Ground,Playground,Parks and Countryside,Ardsley & Robin Hood,"Main Street, Wakefield",WF3 2AP
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,East Ardsley Recreation Ground,Bowling Green,Parks and Countryside,Ardsley & Robin Hood,"Main Street, Wakefield",WF3 2AP
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,East End Park,Playground,Parks and Countryside,Burmantofts & Richmond Hill,East Park Parade Leeds,LS9 9DJ
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,East End Park,Bowling Green,Parks and Countryside,Burmantofts & Richmond Hill,East Park Parade Leeds,LS9 9DJ
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,East End Park,Senior,Parks and Countryside,Burmantofts & Richmond Hill,East Park Parade Leeds,LS9 9DJ
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,East End Park Tz,Teen Zone,Parks and Countryside,Burmantofts & Richmond Hill,East Park Parade,LS9 9DJ
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,East Keswick,Playground,Parish Council,,,
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Elida Gibbs,Senior,Parks and Countryside,,,LS4 2RU
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Elland Road/Beggars Hill,Playground,Parks and Countryside,Beeston & Holbeck,Elland Road Leeds,LS10
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Ellerby Lane,Senior,Parks and Countryside,,,LS9 8RU
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Farfield Recreation Ground,Senior,Parks and Countryside,,,LS28 5ED
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Farfields Recreation ground,Playground,Parks and Countryside,Calverley & Farsley,"Farfield Road, Farsley, Leeds",LS28
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Farndale,Playground,Parks and Countryside,Cross Gates & Whinmoor,"Stanks Lane North, Leeds",LS14
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Farnley Hall,Playground,Parks and Countryside,Farnley & Wortley,Hall Lane Leeds,LS12
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Farsley Recreatino Ground,Playground,Parks and Countryside,Calverley & Farsley,"Calverly Lane, Leeds",LS28
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Fearnville (King George VI) Playing Fields,Senior,Parks and Countryside,,,LS8 3LF
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Fearnville (King George VI) Playing Fields,Senior,Parks and Countryside,,,LS8 3LF
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Fearnville (King George VI) Playing Fields,Junior (9v9),Parks and Countryside,,,LS8 3LF
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Fearnville (King George VI) Playing Fields,Senior,Parks and Countryside,,,LS8 3LF
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Fearnville (King George VI) Playing Fields,Junior (9v9),Parks and Countryside,,,LS8 3LF
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Fearnville (King George VI) Playing Fields,Senior,Parks and Countryside,,,LS8 3LF
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Fearnville (King George VI) Playing Fields,Mini (7v7),Parks and Countryside,,,LS8 3LF
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Fearnville (King George VI) Playing Fields,Mini (7v7),Parks and Countryside,,,LS8 3LF
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Fearnville Sports Centre,Ball Park Area,Parks and Countryside,Gipton & Harehills,Oakwood Lane,LS8
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Fearnville Sports Centre,Bowling Green,Parks and Countryside,Gipton & Harehills,Oakwood Lane,LS8 3LF
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Fearnville Sports Skatepark,Skateboard Park,Parks and Countryside,Gipton & Harehills,Fearnville Sports Centre Oakwood Ln Leeds,LS8
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Firthfields,Playground,Parks and Countryside,Garforth & Swillington,"Garforth, Leeds",LS25
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Forest Ridge,Playground,Parks and Countryside,Ardsley & Robin Hood,"Forest Ridge, East Ardsley",WF3
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Garnetts Field,Senior,Parks and Countryside,,,LS21 1AX
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Garnetts Field,Junior (9v9),Parks and Countryside,,,LS21 1AX
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Gildersome Park,Playground,Parks and Countryside,Morley North,"Town Street, Gildersome, Leeds",LS27
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Gildersome Park,Bowling Green,Parks and Countryside,Morley North,"Town Street, Gildersome, Leeds",LS27
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Gildersome Park Skateboard Park,Skateboard Park,Parks and Countryside,Morley North,"Town Street, Gildersome, Leeds",LS27
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Gildersome Park TZ,Teen Zone,Parks and Countryside,Morley North,"Town Street, Gildersome, Leeds",LS27
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Gipton Square,Playground,Parks and Countryside,Gipton & Harehills,Gipton Approach Leeds,LS9
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Glebelands Recreation Ground,Senior,Parks and Countryside,Garforth & Swillington,"Ninelands Lane, Garforth",LS25 1NT
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Glebelands Recreation Ground,Senior,Parks and Countryside,Garforth & Swillington,"Ninelands Lane, Garforth",LS25 1NT
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Glebelands Recreation Ground,Playground,Parks and Countryside,Garforth & Swillington,"Ninelands Lane, Garforth",LS25 1NT
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Glebelands Skate Park,Skateboard Park,Parks and Countryside,Garforth & Swillington,"Ninelands Lane, Garforth",LS25 1NT
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Glen Road,Senior,Parks and Countryside,,,LS27 9HF
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Glencoe,Playground,Parks and Countryside,Garforth & Swillington,"Kippax, Leeds",LS25
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,Great Preston,Playground,Parks and Countryside,,,
30/10/2014,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/644,Sports - facilities - information,"Greenbottom Park, Guiseley",Bowling Green,Parks and Countryside,Guiseley And Rawdon,Guiseley,
